City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Takoradi,GH,85.53,scattered clouds,4.8845,-1.7554,Raybow International Hotel
7,Atuona,PF,78.71,broken clouds,-9.8,-139.0333,Villa Enata
9,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
12,Faanui,PF,82.42,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Gigmoto,PH,79.48,few clouds,13.7796,124.39,Cj's Travellers Inn
14,Nacala,MZ,87.12,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
16,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
17,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
20,Karratha,AU,85.46,light rain,-20.7377,116.8463,ibis Styles Karratha
22,Umm Lajj,SA,79.65,clear sky,25.0213,37.2685,Moon light Furnished Units
23,Hambantota,LK,85.21,scattered clouds,6.1241,81.1185,Bungalow 63
25,Namibe,AO,76.93,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
26,Alice Springs,AU,78.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
27,Kavieng,PG,82.33,light rain,-2.5744,150.7967,Nusa Island Retreat
30,Vaini,TO,79.18,broken clouds,-21.2,-175.2,Keleti Beach Resort
34,Boende,CD,83.59,overcast clouds,-0.2167,20.8667,
37,Uige,AO,79.72,light rain,-7.6087,15.0613,Hotel Catraio
39,Faya,SA,75.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
40,Souillac,MU,78.75,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Itarema,BR,76.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
47,Rikitea,PF,78.21,scattered clouds,-23.1203,-134.9692,People ThankYou
58,Auki,SB,79.16,overcast clouds,-8.7676,160.7034,Auki Motel
60,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
65,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Domoni,KM,86.99,scattered clouds,-12.2569,44.5319,Al Djadid
73,Port-Gentil,GA,81.88,broken clouds,-0.7193,8.7815,Fengshui Residence
85,Sur,OM,84.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
86,Victoria,HK,81.18,clear sky,22.2855,114.1577,Mini Hotel Central
87,Bima,ID,77.83,light rain,-8.4667,118.7167,Lambitu Hotel
100,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Luanda,AO,79.27,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
102,Katherine,AU,89.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
104,Geraldton,AU,81.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
105,Beloha,MG,85.55,clear sky,-25.1667,45.05,
119,Banda Aceh,ID,82.65,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
122,Kohlu,PK,85.19,clear sky,29.8962,69.252,B &R Rest House
123,Muli,MV,82.56,clear sky,2.9167,73.5667,
134,Isangel,VU,79.48,overcast clouds,-19.55,169.2667,Tanna Lodge
143,Tura,IN,79.2,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
148,Bambanglipuro,ID,81.93,light rain,-7.95,110.2833,Puri Brata
149,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
152,Adrar,MR,76.42,overcast clouds,20.5022,-10.0711,
159,Cap Malheureux,MU,76.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
161,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
162,Touros,BR,79.0,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
165,Bengkulu,ID,84.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
170,Port Elizabeth,ZA,78.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
173,Xichang,CN,76.35,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
176,Mayumba,GA,82.26,scattered clouds,-3.432,10.6554,LIKWALE LODGE
180,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
188,Yulara,AU,87.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
194,Sao Jose Da Coroa Grande,BR,79.09,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
195,Caravelas,BR,75.81,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
197,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,Cititel Penang
200,Hithadhoo,MV,82.98,few clouds,-0.6,73.0833,Scoop Guest House
209,Lodja,CD,83.21,overcast clouds,-3.4833,23.4333,
211,Simao,CN,77.32,overcast clouds,22.7886,100.9748,Changyu Hotel
214,Ugoofaaru,MV,83.23,clear sky,5.6667,73.0,Ungoofaaru Inn
215,Sampit,ID,82.08,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
216,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
217,Omboue,GA,85.44,broken clouds,-1.5746,9.2618,Hotel Olako
219,Laureles,US,75.02,overcast clouds,26.1092,-97.4941,Los Fresnos Inn
224,Alice Town,BS,75.09,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
225,Kutum,SD,83.03,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
229,Jamalpur,BD,78.15,overcast clouds,24.9167,89.9333,College hostel
231,Ambilobe,MG,88.23,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
237,Mitsamiouli,KM,84.88,overcast clouds,-11.3847,43.2844,Foyer ADM
238,Harper,LR,83.07,light rain,4.375,-7.7169,Screensaver
241,Bowen,AU,80.74,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
244,Panzhihua,CN,85.98,broken clouds,26.5851,101.7128,Electric Power Hotel
247,Cockburn Town,TC,75.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
261,Hurghada,EG,78.22,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
263,Bonthe,SL,83.88,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
266,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
269,Richards Bay,ZA,88.93,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
278,Dingle,PH,82.58,clear sky,10.9995,122.6711,SEGAYA PROPERTY
284,Norsup,VU,80.94,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
287,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
288,Atambua,ID,75.42,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
290,Vao,NC,78.57,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
291,Samarai,PG,82.98,overcast clouds,-10.6167,150.6667,Nuli Sapi
292,Mahajanga,MG,89.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
294,Orocue,CO,76.03,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
