City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,New Norfolk,-42.7826,147.0587,54.9,68,96,1.01,AU,overcast clouds
1,Busselton,-33.65,115.3333,73.67,66,71,15.79,AU,broken clouds
2,Yellowknife,62.456,-114.3525,0.41,87,19,8.01,CA,few clouds
3,Baie-Comeau,49.2168,-68.1489,20.88,63,100,13.8,CA,overcast clouds
4,Progreso,21.2833,-89.6667,74.1,83,0,14.61,MX,clear sky
5,Dali,25.7,100.1833,68.16,42,85,6.02,CN,overcast clouds
6,Takoradi,4.8845,-1.7554,85.53,70,36,8.37,GH,scattered clouds
7,Atuona,-9.8,-139.0333,78.71,80,71,14.23,PF,broken clouds
8,Hermanus,-34.4187,19.2345,73.8,56,8,22.79,ZA,clear sky
9,Avarua,-21.2078,-159.775,78.85,89,75,5.75,CK,broken clouds
10,Romans-Sur-Isere,45.0464,5.0562,53.46,88,100,5.75,FR,overcast clouds
11,Ushuaia,-54.8,-68.3,36.37,93,88,4.07,AR,overcast clouds
12,Faanui,-16.4833,-151.75,82.42,71,20,14.7,PF,few clouds
13,Gigmoto,13.7796,124.39,79.48,86,21,7.74,PH,few clouds
14,Nacala,-14.5428,40.6728,87.12,75,75,3.67,MZ,broken clouds
15,Margate,51.3813,1.3862,47.7,82,100,3.0,GB,light rain
16,Santa Cruz,-17.8,-63.1667,76.46,94,75,13.8,BO,broken clouds
17,Mount Isa,-20.7333,139.5,85.77,15,3,8.05,AU,clear sky
18,Talcahuano,-36.7167,-73.1167,44.28,76,0,9.22,CL,clear sky
19,Kaeo,-35.1,173.7833,63.32,93,99,1.59,NZ,overcast clouds
20,Karratha,-20.7377,116.8463,85.46,67,100,13.31,AU,light rain
21,Mehamn,71.0357,27.8492,30.15,80,75,27.63,NO,broken clouds
22,Umm Lajj,25.0213,37.2685,79.65,49,0,10.42,SA,clear sky
23,Hambantota,6.1241,81.1185,85.21,65,27,11.83,LK,scattered clouds
24,Juegang,32.3174,121.1855,53.11,91,72,11.39,CN,broken clouds
25,Namibe,-15.1961,12.1522,76.93,58,92,8.99,AO,overcast clouds
26,Alice Springs,-23.7,133.8833,78.35,25,66,8.05,AU,broken clouds
27,Kavieng,-2.5744,150.7967,82.33,78,87,7.76,PG,light rain
28,Tuktoyaktuk,69.4541,-133.0374,-29.72,100,92,6.38,CA,overcast clouds
29,Bluff,-46.6,168.3333,59.11,85,72,3.42,NZ,light rain
30,Vaini,-21.2,-175.2,79.18,72,76,7.07,TO,broken clouds
31,Esperance,-33.8667,121.9,66.54,69,99,20.98,AU,overcast clouds
32,Snasa,64.2457,12.3778,33.21,69,99,8.5,NO,overcast clouds
33,Hobart,-42.8794,147.3294,55.26,78,75,13.8,AU,broken clouds
34,Boende,-0.2167,20.8667,83.59,60,95,5.32,CD,overcast clouds
35,Serebryanyy Bor,56.8,124.8,14.31,83,100,6.2,RU,overcast clouds
36,Albany,42.6001,-73.9662,25.05,68,5,6.62,US,clear sky
37,Uige,-7.6087,15.0613,79.72,71,68,2.51,AO,light rain
38,Cape Town,-33.9258,18.4232,71.28,65,27,15.52,ZA,scattered clouds
39,Faya,18.3851,42.4509,75.72,15,0,6.67,SA,clear sky
40,Souillac,-20.5167,57.5167,78.75,79,100,10.04,MU,moderate rain
41,Guadalupe,25.6833,-100.25,66.76,77,0,0.0,MX,clear sky
42,Itarema,-2.9248,-39.9167,76.42,89,95,10.13,BR,overcast clouds
43,Ponta Do Sol,32.6667,-17.1,67.71,62,16,3.51,PT,few clouds
44,Upernavik,72.7868,-56.1549,6.71,87,14,7.2,GL,few clouds
45,Saskylakh,71.9167,114.0833,-18.2,97,17,3.18,RU,few clouds
46,Huilong,31.8111,121.655,55.4,91,75,10.96,CN,broken clouds
47,Rikitea,-23.1203,-134.9692,78.21,68,50,5.1,PF,scattered clouds
48,Flinders,-34.5833,150.8552,67.17,91,100,8.99,AU,light rain
49,Belaya Gora,68.5333,146.4167,-10.57,99,49,3.38,RU,scattered clouds
50,Komsomolskiy,40.4272,71.7189,57.92,26,0,4.61,UZ,clear sky
